name,artists,album,duration,explicit,popularity,preview_url,uri
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",Future Nostalgia,203064,false,84,https://p.scdn.co/mp3-preview/6af6db91dba9103cca41d6d5225f6fe120fcfcd3?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:5nujrmhLynf4yMoMtj8AQF
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,242096,false,15,,spotify:track:7MAibcTli4IisCtbHKrGMh
Every Single Time,Bissett,Every Single Time,178051,false,51,,spotify:track:7toXrD09umdbaWc63fBQ3p
Can't Stop Playing (Makes Me High) - Oliver Heldens Vocal Edit,"DR. KUCHO!, Gregor Salto, Ane Brun, Oliver Heldens",Can't Stop Playing (Makes Me High) [Oliver Heldens Vocal Edit],157466,false,49,https://p.scdn.co/mp3-preview/7910e0912e007f8b614f2c7f8208e13fb15c0c29?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:17EZTQlnZzE8VrZaekoxzs
Wasted Love (feat. Lagique),"Ofenbach, Lagique",Wasted Love (feat. Lagique),139563,false,71,https://p.scdn.co/mp3-preview/5b9caeb409c1f273932290fd7bdfcd047aed8657?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:2pPO9YecZimmuVQfIzfV6U
Don't Say Goodbye (feat. Tove Lo),"Alok, Ilkay Sencan, Tove Lo",Don't Say Goodbye (feat. Tove Lo),186700,false,72,https://p.scdn.co/mp3-preview/30b9dce1a2c1530ce1fccc6030c6417df80a1417?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:0GTPmh5G40joBg93vcSQNq
Sonnentanz - Sun Don't Shine,"Klangkarussell, Will Heard",Netzwerk,238120,false,71,,spotify:track:6Qi0Wls2EaolwPMPMxfe5f
On My Mind,"Diplo, SIDEPIECE",Do You Dance?,189268,false,68,https://p.scdn.co/mp3-preview/8b4247786ff62cd06538af48bbfff1ebf94d0a58?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:54hA0ldJYyT1huGfSeOjdQ
BED,"Joel Corry, RAYE, David Guetta",BED,178087,false,75,https://p.scdn.co/mp3-preview/94fe8be6130e62c1cc2b792605f5a9001c9aa587?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:0siYMEsGrzzzlWLXK5zJfS
You - Topic Remix,"Regard, Troye Sivan, Tate McRae, Topic",You (Topic Remix),157160,true,58,https://p.scdn.co/mp3-preview/f17ec7f74a5d7b06258ddef629e170e51aab3826?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:5bbtc9t6FcerXp732H2XNu
Petrunko,TRITICUM,Petrunko,223800,false,0,,spotify:track:71I1u4NUdGp57vc3jkO89v
Desire,"ONEIL, FILV",Desire,162260,false,31,https://p.scdn.co/mp3-preview/aaf827e579f85ea58301db31ba88fcccc104183c?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:0WyWzU7q0PQgXvEPGgtrWM
Lane Moje - Radio Edit,"DJ Dark, Dj Iljano",Lane Moje,179478,false,0,,spotify:track:4At2bL7YpuWUQrRKZ6J1aO
Rampampam (Kean Dysso Remix),"Minelli, KEAN DYSSO",Rampampam (Kean Dysso Remix),198818,false,51,https://p.scdn.co/mp3-preview/1cf6173d9a026a86b649c44415b8e72ab5f28900?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:2ZAVuXVDVAWihsjZyTw7rb
Clandestina - Cocaina Remix,"FILV, Edmofo, Emma Peters",Clandestina (Cocaina Remix),150106,true,71,https://p.scdn.co/mp3-preview/946c7d754551c89cbf075b90ed7ad726b9a86ef8?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:5x5jtuR4qWJzC6cDTgysez
Bre Petrunko,FanEOne,Bre Petrunko,247536,false,0,,spotify:track:1f4U7NdUD8FAltpGnCGpqR
Bloodstream,twocolors,Bloodstream,180619,false,52,,spotify:track:236irGwQHCBQnRJs2zgoib
